TABLE;ktek_pk_idlanguage;ktek_uk_codlanguage;deslanguage;isdefault;#
ktek_language;1;en;English;1;#

TABLE;ktek_pk_iduser;ktek_uk_coduser;#
ktek_user;1;User1;#
ktek_user;2;User2;#
ktek_user;3;User3;#
ktek_user;4;User4;#
ktek_user;5;User5;#
ktek_user;6;User6;#
ktek_user;7;User7;#

TABLE;ktek_fk_iduser;ktek_uk_coduserid;email;mobile;keyuser;passworduser;name;surname;#
ktek_user_ext;1;ID-user1;user1@gmail.com;123456789;usr_1;pass_1;name_user1;surname_user1;#
ktek_user_ext;2;ID-user2;user2@gmail.com;123456789;usr_2;pass_2;name_user2;surname_user2;#
ktek_user_ext;3;ID-user3;user3@gmail.com;123456789;usr_3;pass_3;name_user3;surname_user3;#
ktek_user_ext;4;ID-user4;user4@gmail.com;123456789;usr_4;pass_4;name_psychologist1;surname_psychologist1;#
ktek_user_ext;5;ID-user5;user5@gmail.com;123456789;usr_5;pass_5;name_psychologist2;surname_psychologist2;#
ktek_user_ext;6;ID-user6;user6@gmail.com;123456789;usr_6;pass_6;name_psychiatrist1;surname_psychiatrist1;#
ktek_user_ext;7;ID-user7;user7@gmail.com;123456789;usr_7;pass_7;name_psychiatrist2;surname_psychiatrist2;#

TABLE;ktek_fk_iduser;sessiontoken;dataexpiration;#
ktek_usersessiondata;1;token1;1451602800000;#
ktek_usersessiondata;2;token2;1451602800000;#
ktek_usersessiondata;3;token3;1451602800000;#
ktek_usersessiondata;4;token4;1451602800000;#
ktek_usersessiondata;5;token5;1451602800000;#
ktek_usersessiondata;6;token6;1451602800000;#
ktek_usersessiondata;7;token7;1451602800000;#

TABLE;ktek_fk_iduser;ktek_fk_idlanguage;typecomchannel;#
ktek_tpsettings;1;1;2;#
ktek_tpsettings;2;1;1;#
ktek_tpsettings;3;1;1;#
ktek_tpsettings;4;1;1;#
ktek_tpsettings;5;1;1;#
ktek_tpsettings;6;1;1;#
ktek_tpsettings;7;1;1;#

TABLE;ktek_pathology;ktek_pk_idpathology;ktek_uk_codpathology;namepathology;despathology;#
ktek_pathology;1;BD;Bipolar Disorder;Bipolar Disorder;#

